Symbol,Name,Price,Chg %,Vol,Rel vol,Mkt cap,P/E,EPS diluted TTM,EPS diluted growth TTM YoY,Div yield TTM,Sector,Analyst rating
NSE:RELIANCE,RELIANCE,1322.0,0.4559270516717325,9954054,0.7953824154175437,17841299830384.0,23.940557876570306,55.2201,-8.318252305321916,0.45509708737864074,Energy Minerals,0.33636363636363636
NSE:BHARTIARTL,BHARTIARTL,1934.2,-1.7823592139338806,6704657,0.8395944655208815,12283164686279.0,41.02018136934706,47.1524,-18.80047804538676,1.2185833968012185,Communications,-0.22424242424242424
NSE:HDFCBANK,HDFCBANK,723.0,-0.823045267489712,17754096,0.6061686245470499,11248831630859.0,14.126611957796014,51.18,11.34558903513542,1.7808219178082192,Finance,-0.5121212121212121
NSE:ICICIBANK,ICICIBANK,1412.0,-0.2331661131915463,8294555,0.7747032111083374,10175062429398.0,18.25232678386763,77.36,7.369882026370579,0.8463220255307145,Finance,0.045454545454545456
NSE:SBIN,SBIN,1053.0,-0.7727101394647612,5498238,0.4327483612667465,9821377726562.0,11.27457278684312,93.396,4.927771998139533,1.630639097744361,Finance,0.13333333333333333
NSE:TCS,TCS,2280.0,-1.4352412242780488,1796785,0.5884078751165904,8375872336426.0,16.56507239953792,137.639,1.067516881423239,2.8077753779697625,Technology Services,-0.49090909090909096
NSE:BAJFINANCE,BAJFINANCE,1094.3,0.4590103736344442,3374000,0.5074675412916366,6786293164062.0,33.59840343874731,32.57,16.05202209157313,0.5504587155963303,Finance,0.31212121212121213
NSE:LT,LT,4064.3,-0.548119509628787,1355224,0.9003772056591972,5608030178223.0,33.714641227706345,120.55,4.526142374057053,0.9322865554465163,Industrial Services,0.4454545454545455
NSE:LICI,LICI,410.0,0.0,5314863,0.1658783998902796,5202310491943.0,8.632596685082873,47.4944,23.284584754517933,2.43161094224924,Finance,-0.2212121212121212
NSE:HINDUNILVR,HINDUNILVR,2035.0,-0.9732360097323601,1232542,1.076349388309436,4852375855782.0,31.974834940716928,63.6438,38.524122740193526,1.9852798760410615,Consumer Non-Durables,-0.5121212121212121
NSE:INFY,INFY,1115.0,-2.1844021405386513,8840373,1.1012854872717328,4618068179199.0,15.061380189759882,74.0304,12.70552700168076,4.21792618629174,Technology Services,-0.49090909090909096
NSE:SUNPHARMA,SUNPHARMA,1875.1,-0.3666312433581345,1819107,1.0529924470325016,4516641897583.0,37.19536144028628,50.4122,16.617162632319193,0.849933598937583,Health Technology,-0.2909090909090909
NSE:TITAN,TITAN,5048.6,-0.3926210910525725,354749,0.2884184874210615,4501076002808.0,77.81442663378546,64.88,55.023941736994516,0.2958579881656805,Consumer Durables,0.4454545454545455
NSE:MARUTI,MARUTI,13691.0,-0.501453488372093,267155,0.8367949864029233,4338755291748.0005,30.029898294035934,455.9123,-1.368622179108366,1.0144927536231882,Consumer Durables,-0.49090909090909096
NSE:M&M,M&M,3421.5,0.9172958942897566,1371507,0.6532704437715161,4227998364257.9995,20.82851403177695,164.27,34.44917335079391,0.9705882352941178,Consumer Durables,0.4
NSE:ADANIENT,ADANIENT,3002.5,-0.15961161174476046,721324,0.676492757322934,4071928322723.0,48.1415980284793,62.3681,16.005185703231952,0.04320946619690222,Distribution Services,-0.13333333333333333
NSE:ADANIPOWER,ADANIPOWER,205.58,0.9923364118687414,19151944,1.3162185658518368,3932148858272.0,27.81152342428875,7.3919,14.85953135682764,,Utilities,-0.06363636363636366
NSE:ADANIPORTS,ADANIPORTS,1682.4,-0.5085748078060266,1298064,0.6988090039200283,3902906519531.0,28.712102465206375,58.5955,12.071570652589706,0.4427390791027155,Transportation,-0.3333333333333333
NSE:KOTAKBANK,KOTAKBANK,387.65,-1.2859689330277595,5650673,0.633005522948327,3895887828153.0,18.996584388154634,20.4063,5.9319130380614284,0.165964509128048,Finance,-0.4242424242424242
NSE:AXISBANK,AXISBANK,1243.0,1.2792308319074428,4964182,0.9528289787280103,3828722138672.0,13.977285505453727,88.93,-0.6146624944121559,0.08130081300813008,Finance,-0.04242424242424242
NSE:HCLTECH,HCLTECH,1298.0,-2.0377358490566038,3055221,1.5972831107868097,3597234309530.0,20.193974167893135,64.2766,2.694679661287743,4.526252263126132,Technology Services,-0.1575757575757576
NSE:ULTRACEMCO,ULTRACEMCO,11499.0,-1.5580857803270267,210307,1.0128945907064355,3428051805786.0,39.635323314490556,290.12,21.22969667922059,2.0611473720371007,Non-Energy Minerals,-0.5575757575757576
NSE:ITC,ITC,270.0,-1.1170115363486581,14222864,1.2984313333364927,3423677069092.0,17.046207850094387,15.8393,-43.17943750896829,5.3064958828911255,Consumer Non-Durables,-0.5575757575757576
NSE:HAL,HAL,5099.0,0.7906700929037358,1237379,0.772717959465403,3377313873291.0,36.58367717972063,139.3791,12.159999227476712,0.891089108910891,Electronic Technology,0.5575757575757576
NSE:BAJAJ_AUTO,BAJAJ_AUTO,11607.0,-0.4801509045700077,237741,0.9843369603020817,3271242640381.0,27.603936896453725,420.4835,54.740280052256786,1.281613123718387,Consumer Durables,0.26666666666666666
NSE:NTPC,NTPC,337.1,0.029673590504457788,9930642,1.0250113435512718,3266806721480.0,11.773745699666453,28.6315,15.877596283045433,2.6714158504007126,Utilities,-0.4212121212121212
NSE:BAJAJFINSV,BAJAJFINSV,2011.2,0.30922693266833146,413236,0.29328538596528836,3218541355347.0,31.928877599618986,62.99,6.402027027027025,0.06470881035340965,Finance,0.2212121212121212
NSE:JSWSTEEL,JSWSTEEL,1267.6,-0.7982469870089252,718886,0.49033287422986466,3135072158203.0,12.507153428712382,101.35,411.822157581634,0.5538221528861154,Non-Energy Minerals,0.02121212121212121
NSE:ETERNAL,ETERNAL,315.9,-0.6603773584905732,18378893,0.9024331908797496,3067363992641.0,668.4299619128226,0.4726,42.178098676293644,,Technology Services,0.3090909090909091
NSE:BEL,BEL,412.0,-0.10910413383440141,9101572,0.833149530488278,3014552736049.0,48.99803769994648,8.4085,11.746803816814177,0.6062075654704171,Electronic Technology,0.15454545454545454
NSE:ONGC,ONGC,239.5,0.423497840580314,14886935,1.094904866237558,3000396612305.0,6.923325971578229,34.5932,20.815841860790012,5.555555555555555,Energy Minerals,-0.17575757575757575
NSE:NESTLEIND,NESTLEIND,1462.5,-0.5102040816326531,1814765,0.8864063583347763,2834622066650.0,73.99705529667128,19.7643,22.64231728657059,0.8163265306122449,Consumer Non-Durables,-0.06666666666666667
NSE:SHRIRAMFIN,SHRIRAMFIN,1108.4,-1.212121212121204,2672404,0.5901983840107976,2637655253174.0,19.57266466537171,56.63,10.003885003885015,0.9634255129348797,Finance,0.17575757575757575
NSE:DMART,DMART,3981.0,-0.3504380475594493,339264,0.9065385923673269,2614201854492.0,84.86463440630996,46.91,13.008913514815704,,Retail Trade,-0.4454545454545455
NSE:ASIANPAINT,ASIANPAINT,2628.4,-2.199069767441857,1016853,1.3538811277636082,2585037946777.0,52.90660225442834,49.68,32.43903219270838,1.0204081632653061,Process Industries,-0.403030303030303
